Date,Location ISO Code,Location,New Cases,New Deaths
29/03/20,ID-JB,Jawa Barat,31,2
29/03/20,ID-JT,Jawa Tengah,7,2
29/03/20,ID-JI,Jawa Timur,12,3
29/03/20,ID-KB,Kalimantan Barat,5,0
29/03/20,ID-KT,Kalimantan Tengah,0,0
29/03/20,ID-KI,Kalimantan Timur,0,0
29/03/20,ID-KU,Kalimantan Utara,0,0
29/03/20,ID-LA,Lampung,0,0
29/03/20,ID-MA,Maluku,0,0
29/03/20,ID-MU,Maluku Utara,0,0
29/03/20,ID-PA,Papua,2,0
29/03/20,ID-PB,Papua Barat,0,0
29/03/20,ID-RI,Riau,1,0
29/03/20,ID-SR,Sulawesi Barat,0,0
29/03/20,ID-SN,Sulawesi Selatan,15,0
29/03/20,ID-ST,Sulawesi Tengah,0,0
29/03/20,ID-SG,Sulawesi Tenggara,0,0
29/03/20,ID-SB,Sumatera Barat,0,0
29/03/20,ID-SS,Sumatera Selatan,0,0
29/03/20,ID-SU,Sumatera Utara,0,0
30/03/20,ID-AC,Aceh,0,0
30/03/20,ID-BA,Bali,9,0
30/03/20,ID-BT,Banten,22,0
30/03/20,ID-JK,DKI Jakarta,31,7
30/03/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
30/03/20,IDN,Indonesia,129,8
30/03/20,ID-JA,Jambi,1,0
30/03/20,ID-JB,Jawa Barat,25,0
30/03/20,ID-JT,Jawa Tengah,14,1
30/03/20,ID-JI,Jawa Timur,1,1
30/03/20,ID-KB,Kalimantan Barat,1,0
30/03/20,ID-KS,Kalimantan Selatan,5,0
30/03/20,ID-KT,Kalimantan Tengah,0,0
30/03/20,ID-KI,Kalimantan Timur,0,0
30/03/20,ID-KU,Kalimantan Utara,0,0
30/03/20,ID-BB,Kepulauan Bangka Belitung,1,0
30/03/20,ID-KR,Kepulauan Riau,1,2
30/03/20,ID-LA,Lampung,4,1
30/03/20,ID-MA,Maluku,0,0
30/03/20,ID-MU,Maluku Utara,0,0
30/03/20,ID-PA,Papua,0,0
30/03/20,ID-PB,Papua Barat,0,0
30/03/20,ID-RI,Riau,1,0
30/03/20,ID-SR,Sulawesi Barat,0,0
30/03/20,ID-SN,Sulawesi Selatan,4,2
30/03/20,ID-ST,Sulawesi Tengah,0,0
30/03/20,ID-SG,Sulawesi Tenggara,0,0
30/03/20,ID-SB,Sumatera Barat,3,0
30/03/20,ID-SS,Sumatera Selatan,0,0
30/03/20,ID-SU,Sumatera Utara,6,0
31/03/20,ID-AC,Aceh,0,0
31/03/20,ID-BA,Bali,0,0
31/03/20,ID-BT,Banten,14,8
31/03/20,ID-BE,Bengkulu,1,1
31/03/20,ID-JK,DKI Jakarta,42,9
