Date,Location ISO Code,Location,New Cases,New Deaths
31/03/20,ID-KB,Kalimantan Barat,0,0
31/03/20,ID-KS,Kalimantan Selatan,0,2
31/03/20,ID-KT,Kalimantan Tengah,0,2
31/03/20,ID-KI,Kalimantan Timur,1,3
31/03/20,ID-KU,Kalimantan Utara,0,0
31/03/20,ID-BB,Kepulauan Bangka Belitung,1,1
31/03/20,ID-KR,Kepulauan Riau,0,1
31/03/20,ID-LA,Lampung,1,0
31/03/20,ID-MA,Maluku,0,0
31/03/20,ID-MU,Maluku Utara,0,0
31/03/20,ID-NB,Nusa Tenggara Barat,0,2
31/03/20,ID-PA,Papua,0,1
31/03/20,ID-PB,Papua Barat,0,0
31/03/20,ID-RI,Riau,0,0
31/03/20,ID-SR,Sulawesi Barat,0,0
31/03/20,ID-SN,Sulawesi Selatan,1,0
31/03/20,ID-ST,Sulawesi Tengah,0,0
31/03/20,ID-SG,Sulawesi Tenggara,0,0
31/03/20,ID-SB,Sumatera Barat,0,0
31/03/20,ID-SS,Sumatera Selatan,0,3
31/03/20,ID-SU,Sumatera Utara,2,6
01/04/20,ID-AC,Aceh,0,0
01/04/20,ID-BA,Bali,0,6
01/04/20,ID-BT,Banten,0,12
01/04/20,ID-BE,Bengkulu,0,0
01/04/20,ID-JK,DKI Jakarta,1,61
01/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,5
01/04/20,IDN,Indonesia,21,149
01/04/20,ID-JA,Jambi,0,0
01/04/20,ID-JB,Jawa Barat,0,24
01/04/20,ID-JT,Jawa Tengah,7,8
01/04/20,ID-JI,Jawa Timur,0,10
01/04/20,ID-KB,Kalimantan Barat,0,1
01/04/20,ID-KS,Kalimantan Selatan,0,0
01/04/20,ID-KT,Kalimantan Tengah,0,0
01/04/20,ID-KI,Kalimantan Timur,0,1
01/04/20,ID-KU,Kalimantan Utara,0,0
01/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
01/04/20,ID-KR,Kepulauan Riau,0,0
01/04/20,ID-LA,Lampung,0,0
01/04/20,ID-MA,Maluku,0,0
01/04/20,ID-MU,Maluku Utara,0,0
01/04/20,ID-NB,Nusa Tenggara Barat,0,2
01/04/20,ID-PA,Papua,0,0
01/04/20,ID-PB,Papua Barat,0,0
01/04/20,ID-RI,Riau,1,0
01/04/20,ID-SR,Sulawesi Barat,0,0
01/04/20,ID-SN,Sulawesi Selatan,0,14
01/04/20,ID-ST,Sulawesi Tengah,0,0
01/04/20,ID-SG,Sulawesi Tenggara,0,0
01/04/20,ID-SA,Sulawesi Utara,0,1
01/04/20,ID-SB,Sumatera Barat,0,0
01/04/20,ID-SS,Sumatera Selatan,0,0
01/04/20,ID-SU,Sumatera Utara,0,2
02/04/20,ID-AC,Aceh,0,0
02/04/20,ID-BA,Bali,0,0
02/04/20,ID-BT,Banten,1,6
02/04/20,ID-BE,Bengkulu,0,0
02/04/20,ID-JK,DKI Jakarta,5,72
02/04/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
02/04/20,IDN,Indonesia,13,113
02/04/20,ID-JA,Jambi,0,0
02/04/20,ID-JB,Jawa Barat,4,20
02/04/20,ID-JT,Jawa Tengah,2,0
02/04/20,ID-JI,Jawa Timur,1,0
02/04/20,ID-KB,Kalimantan Barat,1,0
02/04/20,ID-KS,Kalimantan Selatan,0,0
02/04/20,ID-KT,Kalimantan Tengah,0,0
02/04/20,ID-KI,Kalimantan Timur,0,0
02/04/20,ID-KU,Kalimantan Utara,0,0
02/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
02/04/20,ID-KR,Kepulauan Riau,1,0
02/04/20,ID-LA,Lampung,0,0
02/04/20,ID-MA,Maluku,0,0
02/04/20,ID-MU,Maluku Utara,0,0
02/04/20,ID-NB,Nusa Tenggara Barat,0,0
02/04/20,ID-PA,Papua,0,0
02/04/20,ID-PB,Papua Barat,0,0
02/04/20,ID-RI,Riau,0,4
02/04/20,ID-SR,Sulawesi Barat,0,0
02/04/20,ID-SN,Sulawesi Selatan,2,0
02/04/20,ID-ST,Sulawesi Tengah,1,0
02/04/20,ID-SG,Sulawesi Tenggara,0,0
02/04/20,ID-SA,Sulawesi Utara,0,0
02/04/20,ID-SB,Sumatera Barat,0,0
02/04/20,ID-SS,Sumatera Selatan,0,6
02/04/20,ID-SU,Sumatera Utara,0,0
03/04/20,ID-AC,Aceh,0,0
03/04/20,ID-BA,Bali,0,3
03/04/20,ID-BT,Banten,3,4
03/04/20,ID-BE,Bengkulu,0,1
03/04/20,ID-JK,DKI Jakarta,6,70
03/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
03/04/20,IDN,Indonesia,11,196
03/04/20,ID-JA,Jambi,0,0
03/04/20,ID-JB,Jawa Barat,1,2
03/04/20,ID-JT,Jawa Tengah,1,13
03/04/20,ID-JI,Jawa Timur,0,49
03/04/20,ID-KB,Kalimantan Barat,0,0
03/04/20,ID-KS,Kalimantan Selatan,0,0
03/04/20,ID-KT,Kalimantan Tengah,0,2
03/04/20,ID-KI,Kalimantan Timur,0,1
03/04/20,ID-KU,Kalimantan Utara,0,6
03/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
03/04/20,ID-KR,Kepulauan Riau,0,2
03/04/20,ID-LA,Lampung,1,3
03/04/20,ID-MA,Maluku,0,0
03/04/20,ID-MU,Maluku Utara,0,0
03/04/20,ID-NB,Nusa Tenggara Barat,0,0
03/04/20,ID-PA,Papua,1,6
03/04/20,ID-PB,Papua Barat,0,0
03/04/20,ID-RI,Riau,0,3
03/04/20,ID-SR,Sulawesi Barat,0,1
03/04/20,ID-SN,Sulawesi Selatan,0,15
03/04/20,ID-ST,Sulawesi Tengah,1,2
03/04/20,ID-SG,Sulawesi Tenggara,0,2
03/04/20,ID-SA,Sulawesi Utara,0,0
03/04/20,ID-SB,Sumatera Barat,0,0
03/04/20,ID-SS,Sumatera Selatan,0,1
03/04/20,ID-SU,Sumatera Utara,0,0
04/04/20,ID-AC,Aceh,0,0
04/04/20,ID-BA,Bali,0,5
04/04/20,ID-BT,Banten,0,3
04/04/20,ID-BE,Bengkulu,0,0
04/04/20,ID-JK,DKI Jakarta,8,58
04/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,5
04/04/20,IDN,Indonesia,10,106
04/04/20,ID-JA,Jambi,0,0
04/04/20,ID-JB,Jawa Barat,2,22
04/04/20,ID-JT,Jawa Tengah,1,8
04/04/20,ID-JI,Jawa Timur,3,0
04/04/20,ID-KB,Kalimantan Barat,0,0
04/04/20,ID-KS,Kalimantan Selatan,0,0
04/04/20,ID-KT,Kalimantan Tengah,0,0
04/04/20,ID-KI,Kalimantan Timur,0,2
04/04/20,ID-KU,Kalimantan Utara,0,0
04/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
04/04/20,ID-KR,Kepulauan Riau,0,0
04/04/20,ID-LA,Lampung,0,0
04/04/20,ID-MA,Maluku,0,0
04/04/20,ID-MU,Maluku Utara,0,0
04/04/20,ID-NB,Nusa Tenggara Barat,0,0
04/04/20,ID-PA,Papua,0,2
04/04/20,ID-PB,Papua Barat,0,0
04/04/20,ID-RI,Riau,0,0
04/04/20,ID-SR,Sulawesi Barat,0,0
04/04/20,ID-SN,Sulawesi Selatan,2,0
04/04/20,ID-ST,Sulawesi Tengah,0,0
04/04/20,ID-SG,Sulawesi Tenggara,0,0
04/04/20,ID-SA,Sulawesi Utara,1,0
04/04/20,ID-SB,Sumatera Barat,0,0
04/04/20,ID-SS,Sumatera Selatan,0,0
04/04/20,ID-SU,Sumatera Utara,1,3
05/04/20,ID-AC,Aceh,0,0
05/04/20,ID-BA,Bali,0,3
05/04/20,ID-BT,Banten,0,4
05/04/20,ID-BE,Bengkulu,0,0
05/04/20,ID-JK,DKI Jakarta,11,85
05/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
05/04/20,IDN,Indonesia,7,181
05/04/20,ID-JA,Jambi,0,0
05/04/20,ID-JB,Jawa Barat,0,10
05/04/20,ID-JT,Jawa Tengah,0,0
05/04/20,ID-JI,Jawa Timur,2,35
05/04/20,ID-KB,Kalimantan Barat,0,0
05/04/20,ID-KS,Kalimantan Selatan,1,8
05/04/20,ID-KT,Kalimantan Tengah,0,0
05/04/20,ID-KI,Kalimantan Timur,0,1
05/04/20,ID-KU,Kalimantan Utara,0,0
05/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
05/04/20,ID-KR,Kepulauan Riau,0,1
05/04/20,ID-LA,Lampung,0,0
05/04/20,ID-MA,Maluku,0,0
05/04/20,ID-MU,Maluku Utara,0,0
05/04/20,ID-NB,Nusa Tenggara Barat,0,0
05/04/20,ID-PA,Papua,0,8
05/04/20,ID-PB,Papua Barat,0,0
05/04/20,ID-RI,Riau,1,1
05/04/20,ID-SR,Sulawesi Barat,0,0
05/04/20,ID-SN,Sulawesi Selatan,2,2
05/04/20,ID-ST,Sulawesi Tengah,0,1
05/04/20,ID-SG,Sulawesi Tenggara,0,0
05/04/20,ID-SA,Sulawesi Utara,0,0
05/04/20,ID-SB,Sumatera Barat,0,0
05/04/20,ID-SS,Sumatera Selatan,0,4
05/04/20,ID-SU,Sumatera Utara,0,0
06/04/20,ID-AC,Aceh,0,0
06/04/20,ID-BA,Bali,0,7
06/04/20,ID-BT,Banten,1,9
06/04/20,ID-BE,Bengkulu,0,0
06/04/20,ID-JK,DKI Jakarta,7,103
06/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,3
06/04/20,IDN,Indonesia,11,218
06/04/20,ID-JA,Jambi,0,0
06/04/20,ID-JB,Jawa Barat,1,15
06/04/20,ID-JT,Jawa Tengah,4,12
06/04/20,ID-JI,Jawa Timur,0,3
06/04/20,ID-KB,Kalimantan Barat,0,0
06/04/20,ID-KS,Kalimantan Selatan,0,2
06/04/20,ID-KT,Kalimantan Tengah,0,9
06/04/20,ID-KI,Kalimantan Timur,0,6
06/04/20,ID-KU,Kalimantan Utara,0,7
06/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
06/04/20,ID-KR,Kepulauan Riau,0,0
06/04/20,ID-LA,Lampung,0,1
06/04/20,ID-MA,Maluku,0,0
06/04/20,ID-MU,Maluku Utara,0,0
06/04/20,ID-NB,Nusa Tenggara Barat,0,3
06/04/20,ID-PA,Papua,1,0
06/04/20,ID-PB,Papua Barat,0,0
06/04/20,ID-RI,Riau,0,1
06/04/20,ID-SR,Sulawesi Barat,0,0
06/04/20,ID-SN,Sulawesi Selatan,0,29
06/04/20,ID-ST,Sulawesi Tengah,0,0
06/04/20,ID-SG,Sulawesi Tenggara,0,1
06/04/20,ID-SA,Sulawesi Utara,0,2
06/04/20,ID-SB,Sumatera Barat,0,10
06/04/20,ID-SS,Sumatera Selatan,0,0
06/04/20,ID-SU,Sumatera Utara,0,1
07/04/20,ID-AC,Aceh,0,0
07/04/20,ID-BA,Bali,0,0
07/04/20,ID-BT,Banten,1,6
07/04/20,ID-BE,Bengkulu,0,0
07/04/20,ID-JK,DKI Jakarta,14,111
07/04/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
07/04/20,IDN,Indonesia,12,247
07/04/20,ID-JA,Jambi,0,0
07/04/20,ID-JB,Jawa Barat,0,79
07/04/20,ID-JT,Jawa Tengah,0,1
07/04/20,ID-JI,Jawa Timur,0,5
07/04/20,ID-KB,Kalimantan Barat,0,0
07/04/20,ID-KS,Kalimantan Selatan,2,0
07/04/20,ID-KT,Kalimantan Tengah,0,0
07/04/20,ID-KI,Kalimantan Timur,0,0
07/04/20,ID-KU,Kalimantan Utara,0,0
07/04/20,ID-BB,Kepulauan Bangka Belitung,0,0
07/04/20,ID-KR,Kepulauan Riau,0,0
07/04/20,ID-LA,Lampung,0,0
